 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
1819.671    1.05906e-03    1.05445e-03    4.60949e-06
1824.391    1.06569e-03    1.04951e-03    1.61822e-05
1829.106    9.36247e-04    9.29784e-04    6.46264e-06
1833.817    7.94840e-04    7.89140e-04    5.69979e-06
1838.524    6.83429e-04    6.98674e-04   -1.52455e-05
1843.226    7.82929e-04    7.75140e-04    7.78861e-06
1847.924    7.32712e-04    7.40076e-04   -7.36395e-06
1852.617    7.29670e-04    7.29480e-04    1.89774e-07
1857.307    7.56285e-04    7.46512e-04    9.77324e-06
1861.992    8.28681e-04    8.28127e-04    5.53917e-07
1866.673    7.22486e-04    7.28270e-04   -5.78442e-06
1871.351    4.97130e-04    5.16654e-04   -1.95239e-05
1876.025    5.94583e-04    5.94521e-04    6.21045e-08
1880.695    7.87283e-04    7.97611e-04   -1.03284e-05
1885.361    8.09490e-04    8.10433e-04   -9.42583e-07
1890.024    7.53729e-04    7.73106e-04   -1.93770e-05
1894.684    7.10161e-04    7.10919e-04   -7.58134e-07
1899.340    6.12157e-04    6.18470e-04   -6.31292e-06
1903.993    5.86047e-04    5.92834e-04   -6.78678e-06
1908.643    6.14953e-04    6.17208e-04   -2.25468e-06
1913.290    6.11154e-04    6.12976e-04   -1.82192e-06
1917.934    6.29645e-04    6.32181e-04   -2.53593e-06
1922.575    6.34327e-04    6.30356e-04    3.97063e-06
1927.213    5.97573e-04    6.04136e-04   -6.56306e-06
1931.849    5.75757e-04    5.84955e-04   -9.19820e-06
1936.481    5.67395e-04    5.74347e-04   -6.95232e-06
1941.112    5.40854e-04    5.41492e-04   -6.38404e-07
1945.740    4.90292e-04    4.86220e-04    4.07200e-06
1950.366    4.87678e-04    4.88822e-04   -1.14368e-06
1954.989    4.60989e-04    4.70635e-04   -9.64595e-06
1959.610    4.85105e-04    4.82716e-04    2.38884e-06
1964.229    5.40921e-04    5.55669e-04   -1.47479e-05
1968.847    6.73977e-04    6.69503e-04    4.47422e-06
1973.462    7.29401e-04    7.32587e-04   -3.18580e-06
1978.076    8.11765e-04    8.00080e-04    1.16854e-05
1982.688    8.79096e-04    8.70748e-04    8.34825e-06
1987.298    8.96008e-04    8.91340e-04    4.66847e-06
1991.907    8.74628e-04    8.79488e-04   -4.86025e-06
