 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 590.011    3.75338e-02    3.68073e-02    7.26536e-04
 590.838    3.70432e-02    3.71167e-02   -7.35377e-05
 591.665    3.76282e-02    3.75454e-02    8.27557e-05
 592.491    3.77386e-02    3.78387e-02   -1.00144e-04
 593.318    3.71062e-02    3.79732e-02   -8.67026e-04
 594.145    3.76612e-02    3.80044e-02   -3.43222e-04
 594.971    3.85492e-02    3.80360e-02    5.13189e-04
 595.798    3.80131e-02    3.81308e-02   -1.17651e-04
 596.625    3.84528e-02    3.82233e-02    2.29482e-04
 597.451    3.84259e-02    3.82394e-02    1.86484e-04
 598.278    3.83167e-02    3.82149e-02    1.01802e-04
 599.105    3.81802e-02    3.82188e-02   -3.86003e-05
 599.931    3.88547e-02    3.82512e-02    6.03514e-04
 600.758    3.84145e-02    3.82769e-02    1.37634e-04
 601.585    3.84381e-02    3.83193e-02    1.18751e-04
 602.411    3.89160e-02    3.84582e-02    4.57801e-04
 603.238    3.88415e-02    3.87101e-02    1.31371e-04
 604.065    3.92919e-02    3.89560e-02    3.35851e-04
 604.891    3.95588e-02    3.90471e-02    5.11677e-04
 605.718    3.90101e-02    3.89471e-02    6.29915e-05
 606.544    3.88810e-02    3.87235e-02    1.57536e-04
 607.371    3.75944e-02    3.84455e-02   -8.51095e-04
 608.198    3.78287e-02    3.81442e-02   -3.15506e-04
 609.024    3.75930e-02    3.78477e-02   -2.54711e-04
 609.851    3.82338e-02    3.75946e-02    6.39164e-04
 610.677    3.68645e-02    3.73792e-02   -5.14737e-04
 611.504    3.65325e-02    3.71233e-02   -5.90770e-04
 612.330    3.71535e-02    3.67677e-02    3.85774e-04
 613.157    3.64387e-02    3.63677e-02    7.10006e-05
 613.983    3.62101e-02    3.60334e-02    1.76692e-04
 614.810    3.63729e-02    3.57926e-02    5.80308e-04
 615.636    3.52072e-02    3.56189e-02   -4.11714e-04
 616.463    3.55288e-02    3.55664e-02   -3.75875e-05
 617.289    3.55833e-02    3.57064e-02   -1.23096e-04
 618.116    3.65556e-02    3.59739e-02    5.81739e-04
 618.942    3.60761e-02    3.62229e-02   -1.46763e-04
 619.769    3.65095e-02    3.63458e-02    1.63715e-04
 620.595    3.64548e-02    3.62696e-02    1.85179e-04
